2, 20975, Note_on_c, 0, 64, 90
2, 21020, Note_on_c, 0, 57, 0
2, 21110, Note_on_c, 0, 59, 0
2, 21125, Note_on_c, 0, 60, 90
2, 21125, Note_on_c, 0, 57, 90
2, 21200, Note_on_c, 0, 57, 0
2, 21205, Note_on_c, 0, 60, 0
2, 21275, Note_on_c, 0, 59, 90
2, 21280, Note_on_c, 0, 55, 90
2, 21355, Note_on_c, 0, 64, 0
2, 21425, Note_on_c, 0, 66, 90
2, 21430, Note_on_c, 0, 54, 90
2, 21450, Note_on_c, 0, 55, 0
2, 21495, Note_on_c, 0, 59, 0
2, 21559, Note_on_c, 0, 54, 0
2, 21585, Note_on_c, 0, 67, 90
2, 21585, Note_on_c, 0, 59, 90
2, 21590, Note_on_c, 0, 66, 0
2, 21590, Note_on_c, 0, 52, 90
2, 21735, Note_on_c, 0, 40, 90
2, 21750, Note_on_c, 0, 52, 0
2, 21890, Note_on_c, 0, 40, 0
2, 21890, Note_on_c, 0, 52, 90
2, 21920, Note_on_c, 0, 59, 0
2, 22035, Note_on_c, 0, 59, 90
2, 22035, Note_on_c, 0, 50, 90
2, 22040, Note_on_c, 0, 52, 0
2, 22105, Note_on_c, 0, 59, 0
2, 22110, Note_on_c, 0, 67, 0
2, 22185, Note_on_c, 0, 50, 0
2, 22190, Note_on_c, 0, 48, 90
2, 22190, Note_on_c, 0, 67, 90
2, 22195, Note_on_c, 0, 64, 90
2, 22335, Note_on_c, 0, 40, 90
2, 22340, Note_on_c, 0, 48, 0
2, 22480, Note_on_c, 0, 48, 90
2, 22485, Note_on_c, 0, 40, 0
2, 22630, Note_on_c, 0, 64, 0
2, 22630, Note_on_c, 0, 62, 90
2, 22630, Note_on_c, 0, 47, 90
2, 22640, Note_on_c, 0, 48, 0
2, 22725, Note_on_c, 0, 62, 0
2, 22775, Note_on_c, 0, 47, 0
2, 22775, Note_on_c, 0, 45, 90
2, 22775, Note_on_c, 0, 60, 90
2, 22920, Note_on_c, 0, 45, 0
2, 22920, Note_on_c, 0, 48, 90
2, 22925, Note_on_c, 0, 64, 90
2, 22940, Note_on_c, 0, 67, 0
2, 23030, Note_on_c, 0, 64, 0
2, 23075, Note_on_c, 0, 48, 0
2, 23075, Note_on_c, 0, 52, 90
2, 23075, Note_on_c, 0, 69, 90
2, 23230, Note_on_c, 0, 67, 90
2, 23255, Note_on_c, 0, 69, 0
2, 23375, Note_on_c, 0, 66, 90
2, 23385, Note_on_c, 0, 67, 0
2, 23535, Note_on_c, 0, 67, 90
2, 23540, Note_on_c, 0, 66, 0
2, 23540, Note_on_c, 0, 50, 90
2, 23560, Note_on_c, 0, 52, 0
2, 23680, Note_on_c, 0, 67, 0
2, 23680, Note_on_c, 0, 64, 90
2, 23685, Note_on_c, 0, 48, 90
2, 23710, Note_on_c, 0, 50, 0
2, 23830, Note_on_c, 0, 66, 90
2, 23835, Note_on_c, 0, 64, 0
2, 23835, Note_on_c, 0, 48, 0
2, 23835, Note_on_c, 0, 47, 90
2, 23890, Note_on_c, 0, 66, 0
2, 23970, Note_on_c, 0, 67, 90
2, 23975, Note_on_c, 0, 46, 90
2, 23985, Note_on_c, 0, 47, 0
2, 24045, Note_on_c, 0, 67, 0
2, 24045, Note_on_c, 0, 66, 90
2, 24090, Note_on_c, 0, 66, 0
2, 24095, Note_on_c, 0, 67, 90
2, 24110, Note_on_c, 0, 49, 90
2, 24120, Note_on_c, 0, 66, 90
2, 24130, Note_on_c, 0, 46, 0
2, 24135, Note_on_c, 0, 67, 0
2, 24155, Note_on_c, 0, 67, 90
2, 24160, Note_on_c, 0, 66, 0
2, 24185, Note_on_c, 0, 66, 90
2, 24190, Note_on_c, 0, 67, 0
2, 24215, Note_on_c, 0, 67, 90
2, 24220, Note_on_c, 0, 66, 0
2, 24240, Note_on_c, 0, 66, 90
2, 24270, Note_on_c, 0, 49, 0
2, 24275, Note_on_c, 0, 66, 0
2, 24275, Note_on_c, 0, 54, 90
2, 24295, Note_on_c, 0, 66, 90
2, 24315, Note_on_c, 0, 67, 0
2, 24415, Note_on_c, 0, 46, 90
2, 24425, Note_on_c, 0, 54, 0
2, 24510, Note_on_c, 0, 46, 0
2, 24565, Note_on_c, 0, 47, 90
2, 24725, Note_on_c, 0, 61, 90
2, 24740, Note_on_c, 0, 60, 0
2, 24885, Note_on_c, 0, 61, 0
2, 24885, Note_on_c, 0, 63, 90
2, 24895, Note_on_c, 0, 47, 0
2, 25030, Note_on_c, 0, 63, 0
2, 25030, Note_on_c, 0, 57, 90
2, 25030, Note_on_c, 0, 47, 90
2, 25135, Note_on_c, 0, 57, 0
2, 25175, Note_on_c, 0, 66, 0
2, 25175, Note_on_c, 0, 64, 90
2, 25180, Note_on_c, 0, 56, 90
2, 25185, Note_on_c, 0, 40, 90
2, 25195, Note_on_c, 0, 47, 0
2, 25340, Note_on_c, 0, 64, 0
2, 25340, Note_on_c, 0, 59, 90
2, 25480, Note_on_c, 0, 64, 90
2, 25485, Note_on_c, 0, 56, 0
2, 25485, Note_on_c, 0, 59, 0
2, 25620, Note_on_c, 0, 42, 90
2, 25625, Note_on_c, 0, 57, 90
2, 25650, Note_on_c, 0, 40, 0
2, 25720, Note_on_c, 0, 57, 0
2, 25790, Note_on_c, 0, 42, 0
2, 25790, Note_on_c, 0, 59, 90
2, 25790, Note_on_c, 0, 44, 90
2, 25935, Note_on_c, 0, 62, 90
